amzn_price-history-1st Jan 2019-30th Nov 2020
Time,Open,High,Low,Last,Volume
09/30/2020,3141.14,3212.88,3133.99,3148.73,4896100
10/01/2020,3208,3224,3172,3221.26,4971900
10/02/2020,3153.63,3195.796,3123,3125,5613000
10/05/2020,3145.84,3202.53,3140.85,3199.2,3775300
10/06/2020,3165,3182,3090,3099.96,5086800
10/07/2020,3135,3200,3132.385,3195.69,4309400
10/08/2020,3224.99,3233.294,3174.99,3190.55,3174100
10/09/2020,3210,3288.99,3197.83,3286.65,4907800
10/12/2020,3349.94,3496.24,3339.55,3442.93,8364100
10/13/2020,3467.99,3492.38,3424.217,3443.63,5744600
10/14/2020,3447,3464.88,3340,3363.71,5828900
10/15/2020,3292.01,3355.88,3280,3338.65,5223400
10/16/2020,3363.23,3399.661,3160,3272.71,6474300
10/19/2020,3299.61,3329,3192.735,3207.21,5223600
10/20/2020,3222.28,3266,3192.01,3217.01,4509600
